patch_diam:Rad Purcell: Re(gamma_radiative) vs Patch Diameter

Patch Diameter, Re(gamma_radiative)
2e-007, 34.1026
2.2e-007, 32.1276
2.4e-007, 15.4871
2.6e-007, 8.12392
2.8e-007, 5.08712
3e-007, 3.82241
3.2e-007, 3.32922
3.4e-007, 3.30437
3.6e-007, 3.7193
3.8e-007, 4.88563
4e-007, 7.3216
4.2e-007, 12.2645
4.4e-007, 17.0848
4.6e-007, 14.8769
4.8e-007, 9.50222
5e-007, 6.33001
5.2e-007, 4.61473
5.4e-007, 3.83538
5.6e-007, 3.48247
5.8e-007, 3.52761
6e-007, 3.92103
6.2e-007, 4.9311
6.4e-007, 6.82441
6.6e-007, 8.05132
6.8e-007, 7.24939
7e-007, 5.5958
7.2e-007, 4.55167
7.4e-007, 4.18153
7.6e-007, 4.07177
7.8e-007, 4.27359
8e-007, 4.40423
8.2e-007, 5.06021
8.4e-007, 6.57517
8.6e-007, 6.71139
8.8e-007, 6.49212
9e-007, 5.47721
9.2e-007, 3.84591
9.4e-007, 3.14095
9.6e-007, 2.49117
9.8e-007, 2.28674
1e-006, 2.15721


patch_diam:Tot Purcell: Re(gamma_dipole) vs Patch Diameter

Patch Diameter, Re(gamma_dipole)
2e-007, 88.5854
2.2e-007, 83.9255
2.4e-007, 47.6419
2.6e-007, 31.6028
2.8e-007, 25.9818
3e-007, 24.1932
3.2e-007, 23.819
3.4e-007, 25.0226
3.6e-007, 28.0128
3.8e-007, 32.8813
4e-007, 41.9951
4.2e-007, 58.9659
4.4e-007, 75.1355
4.6e-007, 65.4493
4.8e-007, 46.8482
5e-007, 36.4144
5.2e-007, 31.6039
5.4e-007, 29.8913
5.6e-007, 29.748
5.8e-007, 31.0945
6e-007, 34.8553
6.2e-007, 42.3634
6.4e-007, 55.07
6.6e-007, 62.4066
6.8e-007, 54.3235
7e-007, 42.1633
7.2e-007, 35.1666
7.4e-007, 31.7458
7.6e-007, 31.4256
7.8e-007, 32.1159
8e-007, 34.5302
8.2e-007, 38.4827
8.4e-007, 45.5846
8.6e-007, 51.3993
8.8e-007, 52.4534
9e-007, 46.8241
9.2e-007, 38.7523
9.4e-007, 35.1838
9.6e-007, 32.2489
9.8e-007, 30.3344
1e-006, 30.8826


