patch_diam:QE: Re(QE_fdtd) vs Patch Diameter

Patch Diameter, Re(QE_fdtd)
2e-007, 0.384969
2.2e-007, 0.382811
2.4e-007, 0.325072
2.6e-007, 0.257064
2.8e-007, 0.195796
3e-007, 0.157995
3.2e-007, 0.139772
3.4e-007, 0.132056
3.6e-007, 0.132771
3.8e-007, 0.148584
4e-007, 0.174344
4.2e-007, 0.207994
4.4e-007, 0.227387
4.6e-007, 0.227305
4.8e-007, 0.20283
5e-007, 0.173832
5.2e-007, 0.146018
5.4e-007, 0.128311
5.6e-007, 0.117066
5.8e-007, 0.113448
6e-007, 0.112494
6.2e-007, 0.1164
6.4e-007, 0.123923
6.6e-007, 0.129014
6.8e-007, 0.133448
7e-007, 0.132717
7.2e-007, 0.129431
7.4e-007, 0.131719
7.6e-007, 0.129568
7.8e-007, 0.133068
8e-007, 0.127547
8.2e-007, 0.131493
8.4e-007, 0.144241
8.6e-007, 0.130573
8.8e-007, 0.123769
9e-007, 0.116974
9.2e-007, 0.0992433
9.4e-007, 0.0892727
9.6e-007, 0.0772482
9.8e-007, 0.0753841
1e-006, 0.069852


