patch_diam:Rad Purcell: Re(gamma_radiative) vs Patch Diameter

Patch Diameter, Re(gamma_radiative)
1e-007, 3.94033
1.18e-007, 4.42673
1.36e-007, 5.04696
1.54e-007, 5.8557
1.72e-007, 6.90809
1.9e-007, 8.23111
2.08e-007, 9.77849
2.26e-007, 11.2245
2.44e-007, 12.0293
2.62e-007, 11.7333
2.8e-007, 10.4639
2.98e-007, 8.72342
3.16e-007, 7.05763
3.34e-007, 5.70141
3.52e-007, 4.68741
3.7e-007, 3.96565
3.88e-007, 3.45668
4.06e-007, 3.1037
4.24e-007, 2.87201
4.42e-007, 2.735
4.6e-007, 2.68809
4.78e-007, 2.71084
4.96e-007, 2.78526
5.14e-007, 2.87319
5.32e-007, 2.93621
5.5e-007, 2.92317
5.68e-007, 2.81729
5.86e-007, 2.62817
6.04e-007, 2.38932
6.22e-007, 2.1425
6.4e-007, 1.91631
6.58e-007, 1.73003
6.76e-007, 1.59137
6.94e-007, 1.49573
7.12e-007, 1.43932
7.3e-007, 1.41124
7.48e-007, 1.39232
7.66e-007, 1.38633
7.84e-007, 1.37059
8.02e-007, 1.34967
8.2e-007, 1.3162
8.38e-007, 1.26708
8.56e-007, 1.21468
8.74e-007, 1.14483
8.92e-007, 1.08001
9.1e-007, 1.00912
9.28e-007, 0.949075
9.46e-007, 0.90502
9.64e-007, 0.859284
9.82e-007, 0.812689
1e-006, 0.793981


patch_diam:Tot Purcell: Re(gamma_dipole) vs Patch Diameter

Patch Diameter, Re(gamma_dipole)
1e-007, 18.7954
1.18e-007, 20.3955
1.36e-007, 22.7626
1.54e-007, 25.0836
1.72e-007, 28.4947
1.9e-007, 32.4652
2.08e-007, 37.0471
2.26e-007, 41.6999
2.44e-007, 44.6958
2.62e-007, 44.9041
2.8e-007, 42.399
2.98e-007, 38.6302
3.16e-007, 35.0578
3.34e-007, 32.3285
3.52e-007, 30.5119
3.7e-007, 29.4886
3.88e-007, 29.1074
4.06e-007, 29.1905
4.24e-007, 29.8014
4.42e-007, 30.791
4.6e-007, 32.1719
4.78e-007, 33.8869
4.96e-007, 35.8844
5.14e-007, 37.9678
5.32e-007, 39.711
5.5e-007, 40.6002
5.68e-007, 40.3498
5.86e-007, 39.0343
6.04e-007, 37.0251
6.22e-007, 34.8898
6.4e-007, 33.0319
6.58e-007, 31.6602
6.76e-007, 30.7984
6.94e-007, 30.4395
7.12e-007, 30.5111
7.3e-007, 30.9513
7.48e-007, 32.0715
7.66e-007, 32.9022
7.84e-007, 33.653
8.02e-007, 34.2712
8.2e-007, 34.6133
8.38e-007, 34.5459
8.56e-007, 34.3041
8.74e-007, 33.6285
8.92e-007, 32.7526
9.1e-007, 32.1207
9.28e-007, 31.2803
9.46e-007, 30.7951
9.64e-007, 30.3398
9.82e-007, 29.8731
1e-006, 29.918


patch_diam:QE: Re(QE_fdtd) vs Patch Diameter

Patch Diameter, Re(QE_fdtd)
1e-007, 0.209643
1.18e-007, 0.217045
1.36e-007, 0.221722
1.54e-007, 0.233448
1.72e-007, 0.242434
1.9e-007, 0.253536
2.08e-007, 0.263948
2.26e-007, 0.269174
2.44e-007, 0.269137
2.62e-007, 0.261296
2.8e-007, 0.246796
2.98e-007, 0.225819
3.16e-007, 0.201314
3.34e-007, 0.176359
3.52e-007, 0.153626
3.7e-007, 0.134481
3.88e-007, 0.118756
4.06e-007, 0.106326
4.24e-007, 0.0963717
4.42e-007, 0.0888247
4.6e-007, 0.0835541
4.78e-007, 0.0799967
4.96e-007, 0.0776178
5.14e-007, 0.0756744
5.32e-007, 0.0739396
5.5e-007, 0.071999
5.68e-007, 0.0698218
5.86e-007, 0.0673298
6.04e-007, 0.0645324
6.22e-007, 0.0614077
6.4e-007, 0.058014
6.58e-007, 0.0546435
6.76e-007, 0.0516703
6.94e-007, 0.0491379
7.12e-007, 0.0471736
7.3e-007, 0.0455955
7.48e-007, 0.0434129
7.66e-007, 0.042135
7.84e-007, 0.0407271
8.02e-007, 0.0393819
8.2e-007, 0.038026
8.38e-007, 0.036678
8.56e-007, 0.0354091
8.74e-007, 0.0340434
8.92e-007, 0.0329747
9.1e-007, 0.0314166
9.28e-007, 0.030341
9.46e-007, 0.0293884
9.64e-007, 0.028322
9.82e-007, 0.0272048
1e-006, 0.0265386


