wl	n	k
0.365	2.402	2.78E+00
0.366	2.423	2.78E+00
0.367	2.444	2.78E+00
0.368	2.466	2.79E+00
0.369	2.488	2.79E+00
0.37	2.51	2.79E+00
0.371	2.532	2.79E+00
0.372	2.555	2.80E+00
0.373	2.577	2.80E+00
0.374	2.6	2.80E+00
0.375	2.623	2.80E+00
0.376	2.646	2.80E+00
0.377	2.669	2.80E+00
0.378	2.692	2.80E+00
0.379	2.715	2.80E+00
0.38	2.739	2.80E+00
0.381	2.762	2.80E+00
0.382	2.786	2.80E+00
0.383	2.81	2.80E+00
0.384	2.834	2.80E+00
0.385	2.858	2.80E+00
0.386	2.882	2.79E+00
0.387	2.906	2.79E+00
0.388	2.93	2.79E+00
0.389	2.954	2.79E+00
0.39	2.978	2.78E+00
0.391	3.002	2.78E+00
0.392	3.026	2.77E+00
0.393	3.05	2.77E+00
0.394	3.074	2.76E+00
0.395	3.098	2.76E+00
0.396	3.122	2.75E+00
0.397	3.146	2.75E+00
0.398	3.17	2.74E+00
0.399	3.193	2.73E+00
0.4	3.217	2.73E+00
0.401	3.24	2.72E+00
0.402	3.264	2.71E+00
0.403	3.287	2.70E+00
0.404	3.31	2.70E+00
0.405	3.334	2.69E+00
0.406	3.357	2.68E+00
0.407	3.38	2.67E+00
0.408	3.403	2.66E+00
0.409	3.426	2.66E+00
0.41	3.449	2.65E+00
0.411	3.472	2.64E+00
0.412	3.495	2.63E+00
0.413	3.518	2.62E+00
0.414	3.542	2.62E+00
0.415	3.566	2.61E+00
0.416	3.59	2.60E+00
0.417	3.615	2.59E+00
0.418	3.641	2.58E+00
0.419	3.667	2.58E+00
0.42	3.695	2.57E+00
0.421	3.723	2.56E+00
0.422	3.753	2.55E+00
0.423	3.785	2.54E+00
0.424	3.817	2.54E+00
0.425	3.852	2.52E+00
0.426	3.888	2.51E+00
0.427	3.926	2.50E+00
0.428	3.965	2.48E+00
0.429	4.006	2.47E+00
0.43	4.048	2.44E+00
0.431	4.092	2.42E+00
0.432	4.135	2.39E+00
0.433	4.178	2.36E+00
0.434	4.221	2.32E+00
0.435	4.261	2.28E+00
0.436	4.3	2.23E+00
0.437	4.335	2.18E+00
0.438	4.366	2.13E+00
0.439	4.393	2.08E+00
0.44	4.416	2.02E+00
0.441	4.433	1.96E+00
0.442	4.446	1.90E+00
0.443	4.455	1.84E+00
0.444	4.459	1.79E+00
0.445	4.459	1.73E+00
0.446	4.455	1.67E+00
0.447	4.448	1.62E+00
0.448	4.438	1.57E+00
0.449	4.426	1.52E+00
0.45	4.412	1.48E+00
0.451	4.397	1.43E+00
0.452	4.38	1.39E+00
0.453	4.362	1.35E+00
0.454	4.343	1.32E+00
0.455	4.323	1.28E+00
0.456	4.303	1.25E+00
0.457	4.282	1.22E+00
0.458	4.261	1.19E+00
0.459	4.24	1.16E+00
0.46	4.219	1.14E+00
0.461	4.197	1.12E+00
0.462	4.176	1.09E+00
0.463	4.155	1.07E+00
0.464	4.133	1.05E+00
0.465	4.112	1.03E+00
0.466	4.091	1.02E+00
0.467	4.07	9.99E-01
0.468	4.049	9.84E-01
0.469	4.028	9.70E-01
0.47	4.008	9.57E-01
0.471	3.988	9.46E-01
0.472	3.967	9.35E-01
0.473	3.948	9.25E-01
0.474	3.928	9.16E-01
0.475	3.909	9.09E-01
0.476	3.89	9.02E-01
0.477	3.871	8.96E-01
0.478	3.853	8.91E-01
0.479	3.835	8.87E-01
0.48	3.818	8.84E-01
0.481	3.801	8.82E-01
0.482	3.784	8.81E-01
0.483	3.768	8.81E-01
0.484	3.753	8.82E-01
0.485	3.738	8.84E-01
0.486	3.725	8.86E-01
0.487	3.711	8.90E-01
0.488	3.699	8.94E-01
0.489	3.687	9.00E-01
0.49	3.677	9.06E-01
0.491	3.667	9.12E-01
0.492	3.659	9.20E-01
0.493	3.652	9.28E-01
0.494	3.646	9.37E-01
0.495	3.642	9.47E-01
0.496	3.638	9.57E-01
0.497	3.637	9.67E-01
0.498	3.637	9.77E-01
0.499	3.639	9.88E-01
0.5	3.642	9.99E-01
0.501	3.648	1.01E+00
0.502	3.655	1.02E+00
0.503	3.665	1.03E+00
0.504	3.676	1.04E+00
0.505	3.689	1.05E+00
0.506	3.704	1.05E+00
0.507	3.721	1.06E+00
0.508	3.739	1.06E+00
0.509	3.759	1.06E+00
0.51	3.78	1.06E+00
0.511	3.803	1.06E+00
0.512	3.826	1.05E+00
0.513	3.85	1.05E+00
0.514	3.874	1.03E+00
0.515	3.898	1.02E+00
0.516	3.921	1.00E+00
0.517	3.943	9.82E-01
0.518	3.965	9.59E-01
0.519	3.984	9.34E-01
0.52	4.002	9.06E-01
0.521	4.017	8.76E-01
0.522	4.03	8.45E-01
0.523	4.04	8.12E-01
0.524	4.047	7.78E-01
0.525	4.052	7.43E-01
0.526	4.054	7.08E-01
0.527	4.053	6.73E-01
0.528	4.05	6.38E-01
0.529	4.044	6.04E-01
0.53	4.035	5.70E-01
0.531	4.025	5.37E-01
0.532	4.012	5.06E-01
0.533	3.998	4.76E-01
0.534	3.982	4.47E-01
0.535	3.964	4.19E-01
0.536	3.945	3.93E-01
0.537	3.925	3.69E-01
0.538	3.905	3.46E-01
0.539	3.883	3.24E-01
0.54	3.861	3.04E-01
0.541	3.839	2.85E-01
0.542	3.816	2.68E-01
0.543	3.792	2.52E-01
0.544	3.769	2.37E-01
0.545	3.745	2.24E-01
0.546	3.722	2.11E-01
0.547	3.698	2.00E-01
0.548	3.674	1.90E-01
0.549	3.65	1.80E-01
0.55	3.627	1.72E-01
0.551	3.603	1.64E-01
0.552	3.579	1.57E-01
0.553	3.556	1.51E-01
0.554	3.532	1.46E-01
0.555	3.509	1.41E-01
0.556	3.485	1.37E-01
0.557	3.462	1.34E-01
0.558	3.439	1.31E-01
0.559	3.415	1.30E-01
0.56	3.392	1.28E-01
0.561	3.368	1.28E-01
0.562	3.345	1.28E-01
0.563	3.321	1.28E-01
0.564	3.297	1.29E-01
0.565	3.274	1.31E-01
0.566	3.25	1.34E-01
0.567	3.225	1.37E-01
0.568	3.201	1.41E-01
0.569	3.176	1.45E-01
0.57	3.151	1.51E-01
0.571	3.126	1.57E-01
0.572	3.1	1.64E-01
0.573	3.074	1.72E-01
0.574	3.048	1.81E-01
0.575	3.021	1.91E-01
0.576	2.993	2.03E-01
0.577	2.965	2.15E-01
0.578	2.936	2.30E-01
0.579	2.907	2.45E-01
0.58	2.877	2.63E-01
0.581	2.846	2.83E-01
0.582	2.814	3.05E-01
0.583	2.782	3.30E-01
0.584	2.75	3.57E-01
0.585	2.717	3.88E-01
0.586	2.683	4.23E-01
0.587	2.65	4.63E-01
0.588	2.617	5.07E-01
0.589	2.585	5.56E-01
0.59	2.554	6.12E-01
0.591	2.525	6.74E-01
0.592	2.5	7.43E-01
0.593	2.48	8.20E-01
0.594	2.466	9.04E-01
0.595	2.461	9.96E-01
0.596	2.467	1.10E+00
0.597	2.485	1.20E+00
0.598	2.517	1.31E+00
0.599	2.567	1.42E+00
0.6	2.634	1.53E+00
0.601	2.719	1.63E+00
0.602	2.824	1.72E+00
0.603	2.946	1.81E+00
0.604	3.085	1.87E+00
0.605	3.236	1.91E+00
0.606	3.396	1.93E+00
0.607	3.558	1.92E+00
0.608	3.715	1.88E+00
0.609	3.862	1.82E+00
0.61	3.992	1.73E+00
0.611	4.101	1.63E+00
0.612	4.188	1.52E+00
0.613	4.253	1.41E+00
0.614	4.298	1.29E+00
0.615	4.324	1.18E+00
0.616	4.337	1.08E+00
0.617	4.337	9.78E-01
0.618	4.329	8.90E-01
0.619	4.314	8.11E-01
